=== COMPOSITION hunt (18×18 · N=20000 · MAXARG=2000000 · exact int) ===

[A] comp(n) = k·n   (superperfect = σ∘σ, k=2)
[B] comp(n) = af(h,n) + n   (σ∘σ=σ+n ⟺ σ prime · Mersenne)
[C] comp(n) = af(h,n)   (σ∘φ=n, φ∘σ=n classical)
[D] comp1(n) = comp2(n)   (composition vs composition · low-growth subset)

======================================================================

── Frame A (=k·n): bounded=284  universal/structural=9
   [NOVEL?]                   τ∘φ = ψ∘Ω                      sol=[2, 10, 18, 20, 30, 36, 54, 80, 120, 216, 224, 320]
   [NOVEL?]                   φ∘τ = rad∘ψ                    sol=[21, 36, 64, 93, 180, 192, 217, 252, 256, 288, 320, 381]
   [NOVEL?]                   core∘n = sopfr∘rad             sol=[4, 9, 25, 49, 121, 169, 289, 300, 361, 504, 529, 841]
   [NOVEL?]                   rad∘sopfr = Ω∘core             sol=[168, 189, 225, 270, 304, 552, 576, 621, 832, 1064, 1168, 1521]
   [NOVEL?]                   rad∘φ = τ∘Ω                    sol=[2, 4, 6, 8, 10, 12, 15, 20, 30, 32, 34, 48]
   [NOVEL?]                   sopfr∘rad = core               sol=[4, 9, 25, 49, 121, 169, 289, 300, 361, 504, 529, 841]
   [NOVEL?]                   sopfr∘rad = n∘core             sol=[4, 9, 25, 49, 121, 169, 289, 300, 361, 504, 529, 841]
   [NOVEL?]                   ω∘σ = ω∘core                   sol=[4, 9, 16, 25, 36, 64, 81, 100, 144, 225, 289, 324]
   [NOVEL?]                   Ω∘σ = sopfr∘sopfr              sol=[378, 1540, 1785, 2170, 2310, 2604, 2730, 2805, 3360, 3720, 3780, 4185]
   [NOVEL?]                   σ∘τ = n∘sopfr                  sol=[3, 4, 10, 50, 105, 380, 476, 512, 572, 765, 798, 968]
   [NOVEL?]                   σ∘τ = sopfr                    sol=[3, 4, 10, 50, 105, 380, 476, 512, 572, 765, 798, 968]
   [NOVEL?]                   σ∘τ = sopfr∘n                  sol=[3, 4, 10, 50, 105, 380, 476, 512, 572, 765, 798, 968]

PROMOTABILITY (🔵-candidate gate · c2 honest):
   classical NAMED composition laws rediscovered (KNOWN): 4 structured + the sanity gates
   bounded-unique singletons n≥4 (single-point accidents) : 412  → 0 promotable
   bounded-evidence sparse families |sol|≥3 (thin coincid.): 1628  → 0 promotable
   universal-in-[2,N] structural restatements             : 2909  → 0 promotable

VERDICT: novel PROMOTABLE composition laws (bounded-unique singleton OR
         universal-forall, non-classical) = 0   → DRY
   The composition vein reproduces ONLY the classical Mersenne-linked
   family (superperfect σ∘σ=2n · Mersenne σ∘σ=σ+n · σ∘φ=n · φ∘σ=n · …).
   The long tail is single-point accidents + thin restricted-domain
   coincidence families (forall UNPROVEN, elementary-reducible) — none
   promotable. Same terminal as the 18-fn product frame (#4060 novel=0),
   reached HONESTLY: composition is a DIFFERENT algebra (σ∘σ has no
   product restatement) yet its discovery-grade content is also classical.
